Scopus refine results values

"Your query : (TITLE-ABS-KEY((Augmented Reality OR Mixed reality OR VR OR AR OR MR) AND (security OR authentication OR Risks OR privacy )) AND ( LIMIT-TO ( SRCTYPE,""j"" ) OR LIMIT-TO ( SRCTYPE,""p"" ) )  AND ( LIMIT-TO ( OA,""all"" ) )  AND ( LIMIT-TO ( PUBSTAGE,""final"" ) )  AND ( LIMIT-TO ( DOCTYPE,""ar"" ) )  AND ( LIMIT-TO ( SUBJAREA,""COMP"" ) OR LIMIT-TO ( SUBJAREA,""ENGI"" ) )  AND ( LIMIT-TO ( PUBYEAR,2023) OR LIMIT-TO ( PUBYEAR,2022) OR LIMIT-TO ( PUBYEAR,2021) OR LIMIT-TO ( PUBYEAR,2020) OR LIMIT-TO ( PUBYEAR,2019) OR LIMIT-TO ( PUBYEAR,2018) OR LIMIT-TO ( PUBYEAR,2017) OR LIMIT-TO ( PUBYEAR,2016) OR LIMIT-TO ( PUBYEAR,2015) )  AND ( LIMIT-TO ( LANGUAGE,""English"" ) )  AND ( LIMIT-TO ( EXACTKEYWORD,""Virtual Reality"" ) OR LIMIT-TO ( EXACTKEYWORD,""Security Of Data"" ) ) )"


Number of results : 50

"OPEN ACCESS",,"YEAR",,"AUTHOR NAME",,"SUBJECT AREA",,"DOCUMENT TYPE",,"PUBLICATION STAGE",,"SOURCE TITLE",,"KEYWORD",,"AFFILIATION",,"FUNDING SPONSOR",,"COUNTRY",,"SOURCE TYPE",,"LANGUAGE",
,,,,"Ferrari, A.","1",,,,,,,,,"3D Printers","1","Middlesex University","1",,,,,,,,
,,,,"Fioravanti, S.","1",,,,,,,,,"5g","1","Chung-Ang University","1",,,,,,,,
,,,,"Foronda, C.L.","1",,,,,,,,,"6G","1","Hong Kong Baptist University","1",,,,,,,,
,,,,"Fraisse, P.","1",,,,,,,,,"6g","1","Università degli Studi di Pavia","1",,,,,,,,
,,,,"Franchi, F.","1",,,,,,,,,"6g Mobile Communication","1","Thomas Jefferson University","1",,,,,,,,
,,,,"Fribourg, R.","1",,,,,,,,,"A2IoT","1","University of Washington","1",,,,,,,,
,,,,"Gabbard, J.L.","1",,,,,,,,,"AR","1","Universidade da Madeira","1",,,,,,,,
,,,,"Gadekallu, T.R.","1",,,,,,,,,"AR/VR Design","1","National University of Singapore","1",,,,,,,,
,,,,"Gamberi, L.","1",,,,,,,,,"Acceptability","1","Xiamen University","1",,,,,,,,
,,,,"Gardony, A.L.","1",,,,,,,,,"Access Control","1","Universität der Bundeswehr München","1",,,,,,,,
,,,,"Geiling, J.","1",,,,,,,,,"Accident Prevention","1","George Mason University","1",,,,,,,,
,,,,"Georgieva, D.","1",,,,,,,,,"Active Response Strategy","1","The University of North Carolina at Greensboro","1",,,,,,,,
,,,,"Ghanakota, V.","1",,,,,,,,,"Addiction Treatment","1","VSB – Technical University of Ostrava","1",,,,,,,,
,,,,"Giannakis, M.","1",,,,,,,,,"Additive Technology","1","Università degli Studi dell'Aquila","1",,,,,,,,
,,,,"Giannone, L.","1",,,,,,,,,"Additives","1","Singapore Management University","1",,,,,,,,
,,,,"Girbés-Juan, V.","1",,,,,,,,,"Adult","1","Universitätsklinikum Knappschaftskrankenhaus Bochum GmbH","1",,,,,,,,
,,,,"Gomez, N.A.G.","1",,,,,,,,,"Advanced Analytics","1","University of Birmingham","1",,,,,,,,
,,,,"Gonzalez, J.E.","1",,,,,,,,,"Advanced Softwares","1","European Organization for Nuclear Research","1",,,,,,,,
,,,,"González, A.","1",,,,,,,,,"Aided Target Recognition","1","University of Canterbury","1",,,,,,,,
,,,,"González, C.","1",,,,,,,,,"Alzheimer","1","Universidade de Coimbra","1",,,,,,,,
,,,,"Goyal, D.P.","1",,,,,,,,,"Analog To Digital Conversion","1","Manchester Metropolitan University","1",,,,,,,,
,,,,"Gracia, L.","1",,,,,,,,,"Anesthesia","1","National Institute of Industrial Engineering","1",,,,,,,,
,,,,"Graziosi, F.","1",,,,,,,,,"Ankle Strategies","1","Wuhan University of Technology","1",,,,,,,,
,,,,"Grigg, E.","1",,,,,,,,,"Ankle Strategy","1","Edge Hill University","1",,,,,,,,
,,,,"Groom, J.A.","1",,,,,,,,,"Antennas","1","Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa","1",,,,,,,,
,,,,"Gustafsson, A.","1",,,,,,,,,"Anti-eavesdropping","1","Penn Medicine","1",,,,,,,,
,,,,"Guttadauria, A.","1",,,,,,,,,"Anxiety","1","Tufts University","1",,,,,,,,
,,,,"Hadjiefthymiades, S.","1",,,,,,,,,"Areas Of Concerns","1","University of Strathclyde","1",,,,,,,,
,,,,"Hamari, J.","1",,,,,,,,,"Augmented Reality Games (ARGs)","1","The University of Alabama","1",,,,,,,,
,,,,"Hamidouche, K.","1",,,,,,,,,"Augmented Virtualities","1","University of Portsmouth","1",,,,,,,,
,,,,"Hassantabar, S.","1",,,,,,,,,"Augmented Virtuality","1","Rensselaer Polytechnic Institute","1",,,,,,,,
,,,,"Hayashibe, M.","1",,,,,,,,,"Authentication Techniques","1","Xidian University","1",,,,,,,,
,,,,"He, W.","1",,,,,,,,,"Automation","1","Grand Valley State University","1",,,,,,,,
,,,,"Hegde, P.","1",,,,,,,,,"Automobile Testing","1","Stony Brook University","1",,,,,,,,
,,,,"Hiekkanen, K.","1",,,,,,,,,"Autonomous Vehicles","1","Fondazione IRCCS Policlinico San Matteo","1",,,,,,,,
,,,,"Higgins, D.","1",,,,,,,,,"Avatar","1","Clemson University","1",,,,,,,,
,,,,"Hinsch, C.","1",,,,,,,,,"Avatars","1","École de Technologie Supérieure","1",,,,,,,,
,,,,"Hornecker, E.","1",,,,,,,,,"Balance Rehabilitation","1","Virginia Polytechnic Institute and State University","1",,,,,,,,
,,,,"Hristova, I.","1",,,,,,,,,"Balance Rehabilitations","1","Colorado College","1",,,,,,,,
,,,,"Hsu, K.S.","1",,,,,,,,,"Behavioral Data","1","Sejong University","1",,,,,,,,
,,,,"Hughes, G.I.","1",,,,,,,,,"Behavioral Research","1","Iscte – Instituto Universitário de Lisboa","1",,,,,,,,
,,,,"Hughes, L.","1",,,,,,,,,"Bibliometric Analysis","1","UNSW Sydney","1",,,,,,,,
,,,,"Hung, D.V.","1",,,,,,,,,"Big Data Analytics (BDA)","1","Liverpool John Moores University","1",,,,,,,,
,,,,"Hussain, Z.","1",,,,,,,,,"Binaural Rendering","1","Bauhaus-Universität Weimar","1",,,,,,,,
,,,,"Huynh-The, T.","1",,,,,,,,,"Bio-inspired Interfaces","1","National and Kapodistrian University of Athens","1",,,,,,,,
,,,,"Jan, S.","1",,,,,,,,,"Biomedical Engineering","1","University of Miami","1",,,,,,,,
,,,,"Janssen, M.","1",,,,,,,,,"Biomedical Equipment","1","White River Junction VA Medical Center","1",,,,,,,,
,,,,"Jawarkar, P.S.","1",,,,,,,,,"Biomedical Monitoring","1","University of Georgia","1",,,,,,,,
,,,,"Jebabli, I.","1",,,,,,,,,"Bloating","1","Université d'Evry Val d'Essonne","1",,,,,,,,
,,,,"Jha, N.K.","1",,,,,,,,,"Blockchain","1","Università degli Studi di Milano","1",,,,,,,,
,,,,"Jhaveri, R.H.","1",,,,,,,,,"Brain Modeling","1","Thayer School of Engineering at Dartmouth","1",,,,,,,,
,,,,"Jia, X.","1",,,,,,,,,"Building","1","Curtin University","1",,,,,,,,
,,,,"Jiang, J.F.","1",,,,,,,,,"Burden Of Disease","1","Universidad Autonoma de San Luis Potosi","1",,,,,,,,
,,,,"Johri, A.","1",,,,,,,,,"COVID-19","1","Northeastern University","1",,,,,,,,
,,,,"Karamanoglu, M.","1",,,,,,,,,"COVID-19 Test","1","Universiti Kuala Lumpur","1",,,,,,,,
,,,,"Karthikeyan, R.","1",,,,,,,,,"Calibration","1","University at Buffalo, The State University of New York","1",,,,,,,,
,,,,"Katsikas, S.","1",,,,,,,,,"Cameras","1","Technische Universiteit Eindhoven","1",,,,,,,,
,,,,"Khan, M.A.","1",,,,,,,,,"Carbon","1","Universidad de Navarra","1",,,,,,,,
,,,,"Khattak, H.A.","1",,,,,,,,,"Carbon Functional Material","1","Shri Ramdeobaba College of Engineering and Management, Nagpur","1",,,,,,,,
,,,,"Kim, A.J.","1",,,,,,,,,"Carbon-based","1","Al-Ahliyya Amman University","1",,,,,,,,
,,,,"Kim, H.","1",,,,,,,,,"Cardiovascular Disease","1","The University of Jordan","1",,,,,,,,
,,,,"Kim, J.","1",,,,,,,,,"Cell Phones","1","Lebanese American University","1",,,,,,,,
,,,,"Kim, J.","1",,,,,,,,,"Center Of Mass","1","University of Novi Sad","1",,,,,,,,
,,,,"Kim, Y.G.","1",,,,,,,,,"Chronic Disease","1","Fundacao Getulio Vargas","1",,,,,,,,
,,,,"Klaudt-Moreau, J.","1",,,,,,,,,"Clinical Treatments","1","National University of Civil Engineering","1",,,,,,,,
,,,,"Knox, D.","1",,,,,,,,,"Cloud Computing","1","Nirma University","1",,,,,,,,
,,,,"Koleva, G.","1",,,,,,,,,"Cloud-computing","1","Metal Industries Research and Development Center Taiwan","1",,,,,,,,
,,,,"Kool, L.","1",,,,,,,,,"Codes (symbols)","1","AMRI Hospitals","1",,,,,,,,
,,,,"Koos, S.","1",,,,,,,,,"Cognitive Task","1","University of Agder","1",,,,,,,,
,,,,"Kotek, L.","1",,,,,,,,,"Cognitive Work","1","R.V.R. &amp; J.C.College of Engineering","1",,,,,,,,
,,,,"Kreps, D.","1",,,,,,,,,"Collaborative AR","1","Clinical Tools, Inc.","1",,,,,,,,
,,,,"Kshetri, N.","1",,,,,,,,,"Collaborative Robotics","1","COMSATS University Islamabad","1",,,,,,,,
,,,,"Kumar, D.","1",,,,,,,,,"Communicable Disease","1","Knowledge Based Systems, Inc.","1",,,,,,,,
,,,,"Kumar, V.","1",,,,,,,,,"Complex Machinery","1","Human Interface Technology Laboratory New Zealand","1",,,,,,,,
,,,,"Kun, L.","1",,,,,,,,,"Complex Networks","1","PES University","1",,,,,,,,
